taxonID,area,gazetteer,status,referenceID,remarks
S305720010,"ZA, Gauteng",,NATIVE,2418,
S290040020,"ZA, Gauteng",,NATIVE,190,
S494740130,"ZA, Gauteng",,NATIVE,2773,
S494740160,"ZA, Gauteng",,NATIVE,2773,
S305030560,"ZA, Gauteng",,NATIVE,128,
S493210090,"ZA, Gauteng",,NATIVE,1252,
S302080245,"ZA, Gauteng",,NATIVE,78,
S501080010,"ZA, Gauteng",,NATIVE,3957,
S501080040,"ZA, Gauteng",,NATIVE,2460,
S173060510,"ZA, Gauteng",,NATIVE,78,
S173060670,"ZA, Gauteng",,NATIVE,379,
S301150030,"ZA, Gauteng",,NATIVE,2745,
S301150040,"ZA, Gauteng",,NATIVE,128,
S306570010,"ZA, Gauteng",,NATIVE,138,
S305560010,"ZA, Gauteng",,NATIVE,132,
S495600350,"ZA, Gauteng",,NATIVE,2773,
S495600160,"ZA, Gauteng",,NATIVE,2773,
S495600430,"ZA, Gauteng",,NATIVE,2773,
S495600440,"ZA, Gauteng",,NATIVE,2773,
S185950090,"ZA, Gauteng",,NATIVE,2056,
S185950120,"ZA, Gauteng",,NATIVE,2056,
S185950140,"ZA, Gauteng",,NATIVE,128,
S185950220,"ZA, Gauteng",,NATIVE,2056,
S185950290,"ZA, Gauteng",,NATIVE,4374,
S185950410,"ZA, Gauteng",,NATIVE,2056,
S155040190,"ZA, Gauteng",,NATIVE,138,
S306580010,"ZA, Gauteng",,NATIVE,138,
S306590010,"ZA, Gauteng",,NATIVE,2740,
S185420020,"ZA, Gauteng",,NATIVE,2056,
S185420030,"ZA, Gauteng",,NATIVE,2056,
S185420040,"ZA, Gauteng",,NATIVE,2056,
S185630010,"ZA, Gauteng",,NATIVE,78,
S301210020,"ZA, Gauteng",,NATIVE,138,
S301210030,"ZA, Gauteng",,NATIVE,190,
S301210040,"ZA, Gauteng",,NATIVE,227,
S301210060,"ZA, Gauteng",,NATIVE,78,
S301210090,"ZA, Gauteng",,NATIVE,228,
S301210120,"ZA, Gauteng",,NATIVE,2742,
S301210130,"ZA, Gauteng",,NATIVE,2741,
S301210160,"ZA, Gauteng",,NATIVE,78,
S301210170,"ZA, Gauteng",,NATIVE,78,
S301210230,"ZA, Gauteng",,NATIVE,132,
S185980040,"ZA, Gauteng",,NATIVE,2056,
S450340010,"ZA, Gauteng",,NATIVE,3487,
S290060875,"ZA, Gauteng",,NATIVE,227,
S172280060,"ZA, Gauteng",,NATIVE,132,
S120020020,"ZA, Gauteng",,NATIVE,128,
S305760030,"ZA, Gauteng",,NATIVE,228,
S495770010,"ZA, Gauteng",,NATIVE,2770,
S305760080,"ZA, Gauteng",,NATIVE,2418,
S170165100,"ZA, Gauteng",,NATIVE,190,
S305760090,"ZA, Gauteng",,NATIVE,78,
S170165150,"ZA, Gauteng",,NATIVE,132,
S495790010,"ZA, Gauteng",,NATIVE,2772,
S316800160,"ZA, Gauteng",,NATIVE,295,
S506180030,"ZA, Gauteng",,NATIVE,2460,
S304260150,"ZA, Gauteng",,NATIVE,78,
S304260190,"ZA, Gauteng",,NATIVE,228,
S304260220,"ZA, Gauteng",,NATIVE,228,
S304260240,"ZA, Gauteng",,NATIVE,78,
S507035030,"ZA, Gauteng",,NATIVE,2460,
S295210190,"ZA, Gauteng",,NATIVE,78,
S493220030,"ZA, Gauteng",,NATIVE,2460,
S170710040,"ZA, Gauteng",,NATIVE,132,
S460340190,"ZA, Gauteng",,NATIVE,423,
S306640010,"ZA, Gauteng",,NATIVE,2740,
S385120230,"ZA, Gauteng",,NATIVE,553,
S493290190,"ZA, Gauteng",,NATIVE,3364,
S301310160,"ZA, Gauteng",,NATIVE,138,
S301310170,"ZA, Gauteng",,NATIVE,138,
S301310220,"ZA, Gauteng",,NATIVE,78,
S301310270,"ZA, Gauteng",,NATIVE,190,
S301310410,"ZA, Gauteng",,NATIVE,132,
S161400010,"ZA, Gauteng",,NATIVE,228,
S305530020,"ZA, Gauteng",,NATIVE,138,
S305580100,"ZA, Gauteng",,NATIVE,227,
S305510005,"ZA, Gauteng",,NATIVE,227,
S305580120,"ZA, Gauteng",,NATIVE,138,
S290060040,"ZA, Gauteng",,NATIVE,227,
S290060170,"ZA, Gauteng",,NATIVE,190,
S290030050,"ZA, Gauteng",,NATIVE,190,
S290060600,"ZA, Gauteng",,NATIVE,78,
S290061220,"ZA, Gauteng",,NATIVE,128,
S290061320,"ZA, Gauteng",,NATIVE,190,
S290061580,"ZA, Gauteng",,NATIVE,228,
S290061840,"ZA, Gauteng",,NATIVE,78,
S290062210,"ZA, Gauteng",,NATIVE,190,
S161410010,"ZA, Gauteng",,NATIVE,475,
S440040040,"ZA, Gauteng",,NATIVE,581,
S440040140,"ZA, Gauteng",,NATIVE,581,
S115050010,"ZA, Gauteng",,NATIVE,1740,
S320020040,"ZA, Gauteng",,NATIVE,228,
S303270040,"ZA, Gauteng",,NATIVE,132,
S173030450,"ZA, Gauteng",,NATIVE,132,
S173030630,"ZA, Gauteng",,NATIVE,132,
S295390060,"ZA, Gauteng",,NATIVE,366,
S270010050,"ZA, Gauteng",,NATIVE,227,
S115060050,"ZA, Gauteng",,NATIVE,4405,
S115060080,"ZA, Gauteng",,NATIVE,138,
S115060090,"ZA, Gauteng",,NATIVE,1740,
S115060140,"ZA, Gauteng",,NATIVE,128,
S115060200,"ZA, Gauteng",,NATIVE,190,
S115060290,"ZA, Gauteng",,NATIVE,1740,
S115060350,"ZA, Gauteng",,NATIVE,4405,
S115060360,"ZA, Gauteng",,NATIVE,138,
S115060370,"ZA, Gauteng",,NATIVE,1740,
S115060400,"ZA, Gauteng",,NATIVE,4405,
S115060460,"ZA, Gauteng",,NATIVE,138,
S185670030,"ZA, Gauteng",,NATIVE,138,
S300180080,"ZA, Gauteng",,NATIVE,2740,
S185670070,"ZA, Gauteng",,NATIVE,2056,
S300180090,"ZA, Gauteng",,NATIVE,228,
S300180100,"ZA, Gauteng",,NATIVE,138,
S185670080,"ZA, Gauteng",,NATIVE,2056,
S185670110,"ZA, Gauteng",,NATIVE,2056,
S300180160,"ZA, Gauteng",,NATIVE,2740,
S185670130,"ZA, Gauteng",,NATIVE,2056,
S160200090,"ZA, Gauteng",,NATIVE,132,
S300210010,"ZA, Gauteng",,NATIVE,2740,
S160130020,"ZA, Gauteng",,NATIVE,138,
S330100040,"ZA, Gauteng",,NATIVE,78,
S306700010,"ZA, Gauteng",,NATIVE,128,
S172330190,"ZA, Gauteng",,NATIVE,128,
S150015200,"ZA, Gauteng",,NATIVE,128,
S360280010,"ZA, Gauteng",,NATIVE,132,
S360980050,"ZA, Gauteng",,NATIVE,78,
S496080020,"ZA, Gauteng",,NATIVE,2775,
S170750070,"ZA, Gauteng",,NATIVE,132,
S496080110,"ZA, Gauteng",,NATIVE,2771,
S380150020,"ZA, Gauteng",,NATIVE,1945,
S302080660,"ZA, Gauteng",,NATIVE,228,
S302080760,"ZA, Gauteng",,NATIVE,190,
S316360110,"ZA, Gauteng",,NATIVE,78,
S316360130,"ZA, Gauteng",,NATIVE,78,
S160490480,"ZA, Gauteng",,NATIVE,132,
S602600010,"ZA, Gauteng",,NATIVE,488,
p450360013,"ZA, Gauteng",,NATIVE,1794,
S602280010,"ZA, Gauteng",,NATIVE,20,
S602280040,"ZA, Gauteng",,NATIVE,20,
S602300080,"ZA, Gauteng",,NATIVE,488,
S602300270,"ZA, Gauteng",,NATIVE,628,
S602300310,"ZA, Gauteng",,NATIVE,628,
S602030010,"ZA, Gauteng",,NATIVE,20,
S602370180,"ZA, Gauteng",,NATIVE,654,
S602955020,"ZA, Gauteng",,NATIVE,645,
S602570050,"ZA, Gauteng",,NATIVE,488,
S602570160,"ZA, Gauteng",,NATIVE,628,
S602360040,"ZA, Gauteng",,NATIVE,641,
S602360060,"ZA, Gauteng",,NATIVE,628,
S600030200,"ZA, Gauteng",,NATIVE,654,
S600302020,"ZA, Gauteng",,NATIVE,641,
S600030720,"ZA, Gauteng",,NATIVE,654,
S600030790,"ZA, Gauteng",,NATIVE,742,
S600031030,"ZA, Gauteng",,NATIVE,654,
p600031031,"ZA, Gauteng",,NATIVE,490,
S600300300,"ZA, Gauteng",,NATIVE,742,
S601640470,"ZA, Gauteng",,NATIVE,488,
S601641040,"ZA, Gauteng",,NATIVE,488,
S601641050,"ZA, Gauteng",,NATIVE,2188,
S612510020,"ZA, Gauteng",,NATIVE,654,
S600300610,"ZA, Gauteng",,NATIVE,654,
S600300900,"ZA, Gauteng",,NATIVE,2188,
S600300990,"ZA, Gauteng",,NATIVE,742,
S600360070,"ZA, Gauteng",,NATIVE,488,
S601620060,"ZA, Gauteng",,NATIVE,614,
S601920160,"ZA, Gauteng",,NATIVE,654,
S601930010,"ZA, Gauteng",,NATIVE,1549,
S601640160,"ZA, Gauteng",,NATIVE,645,
S601950140,"ZA, Gauteng",,NATIVE,614,
S601510060,"ZA, Gauteng",,NATIVE,1549,
p611040262,"ZA, Gauteng",,NATIVE,614,
S609140410,"ZA, Gauteng",,NATIVE,707,
S609140460,"ZA, Gauteng",,NATIVE,707,
S609140830,"ZA, Gauteng",,NATIVE,707,
S609141520,"ZA, Gauteng",,NATIVE,614,
S610551760,"ZA, Gauteng",,NATIVE,488,
S610010210,"ZA, Gauteng",,NATIVE,654,
S610650300,"ZA, Gauteng",,NATIVE,654,
S609100030,"ZA, Gauteng",,NATIVE,614,
S609180040,"ZA, Gauteng",,NATIVE,614,
S614900030,"ZA, Gauteng",,NATIVE,488,
S609480080,"ZA, Gauteng",,NATIVE,20,
S609128010,"ZA, Gauteng",,NATIVE,20,
S613060010,"ZA, Gauteng",,NATIVE,20,
