author,ID,citation,title,year,source,doi,link,remarks
Yakovlev R. V.,10072,"Yakovlev R. V., 2022a, New species of Gumilevia Yakovlev, 2011 (Lepidoptera, Cossidae: Cossinae) from Nigeria with Catalogue of the Genus. vol 55 issue  pages 38–41","New species of Gumilevia Yakovlev, 2011 (Lepidoptera, Cossidae: Cossinae) from Nigeria with Catalogue of the Genus.",2022,,,,
Viette P.,10073,"Viette P., 1948c, Une nouvelle espèce de Metzneria (Lep. Gelechiidae). vol 53 issue 3–4 pages 51–53",Une nouvelle espèce de Metzneria (Lep. Gelechiidae).,1948,,,https://www.persee.fr/doc/bsef_0037-928x_1948_num_53_3_16021?pageId=T1_51,
Guenée A. M.,10074,"Guenée A. M., 1838, Matériaux pour servir à la classification des Noctuélides (suite). vol 8 issue  pages 107–125, 201–230",Matériaux pour servir à la classification des Noctuélides (suite).,1838,,,https://www.biodiversitylibrary.org/page/15643289,
Guenée A. M.,10075,"Guenée A. M., 1837b, Notice sur quelques nouveaux genres à établir dans l'ordre des Lépidoptères, et principalement dans le genre Noctua de Linné, etc. vol 6 issue  pages 219–228","Notice sur quelques nouveaux genres à établir dans l'ordre des Lépidoptères, et principalement dans le genre Noctua de Linné, etc.",1837,,,https://www.biodiversitylibrary.org/page/8430726,
Yakovlev R. V.,10076,"Yakovlev R. V., 2022b, Diogodiasia Yakovlev ‒ New Genus of Cossinae (Lepidoptera, Cossidae) from Madagascar with descriptions of two new species. vol 55 issue  pages 42–48","Diogodiasia Yakovlev ‒ New Genus of Cossinae (Lepidoptera, Cossidae) from Madagascar with descriptions of two new species.",2022,,,,
Paulian R.,10077,"Paulian R., 1955b, A propos de Gascardia madagascariensis Targ. Tozz. ou Lokombitsika (Cochenille). vol 7 issue 1 pages 59–61",A propos de Gascardia madagascariensis Targ. Tozz. ou Lokombitsika (Cochenille).,1955,,,https://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_5/b_fdi_20-21/28309.pdf,
Paulian R.,10078,"Paulian R., 1961, La zoogéographie de Madagascar et des iles voisines. vol 13 issue  pages 1–485",La zoogéographie de Madagascar et des iles voisines.,1961,,,https://horizon.documentation.ird.fr/exl-php/util/documents/accede_document.php?1662110030382,
Paulian R.,10079,"Paulian R., 1964, Composition et origine de l'entomofaune comorienne. vol 69 issue  pages 167–176",Composition et origine de l'entomofaune comorienne.,1964,,,https://horizon.documentation.ird.fr/exl-php/util/documents/accede_document.php?1662110189987,
de Freina J. J. & De Prins W.,10080,"de Freina J. J. & De Prins W., 2022b, Updated and commented list of the South African and Namibian Syntomini and Euchromiini
(Lepidoptera: Noctuoidea, Erebidae, Arctiinae). vol 132 issue 3 pages 165–186","Updated and commented list of the South African and Namibian Syntomini and Euchromiini
(Lepidoptera: Noctuoidea, Erebidae, Arctiinae).",2022,,,,
Leraut P.,10081,"Leraut P., 1979, Quelques changements dans la nomenclature des Pyralidae et des Psychidae de France. vol 11 issue 1 pages 85–88",Quelques changements dans la nomenclature des Pyralidae et des Psychidae de France.,1979,,,,
