taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks
S172210150,,Undefined Decaying animal matter ,has host,375,
S172210170,,Undefined Decaying animal matter ,has host,7,
S172210270,,Undefined coprophagous ,has host,9309,
S172230010,,Undefined Decaying vegetable matter ,has host,375,
S172250010,,"Apanteles minatchy Rousse & Gupta, 2014",has parasite,7498,
S172250010,,Undefined Decaying animal matter ,has host,7498,
S172260010,,Undefined Mosses ,has host,3195,
S172260020,,Acaena sp. ,has host,4566,
S172260020,,Pringlea antiscorbutica Hook f.,has host,3195,
S172260020,,Pringlea sp. ,has host,4566,
S172330020,,Undefined Decaying vegetable matter ,has host,243,
S172330090,,Undefined Decaying vegetable matter ,has host,1545,
S172330180,,Undefined Decaying animal matter ,has host,1545,
S172330250,,Undefined Decaying animal matter ,has host,1545,
S172330310,,Undefined Decaying animal matter ,has host,375,
S172330310,,Undefined Decaying vegetable matter ,has host,407,
S172330320,,Undefined coprophagous ,has host,9309,
S172330330,,Undefined Decaying animal matter ,has host,1545,
S172370030,,Undefined Decaying animal matter ,has host,7,
S172390010,,Undefined Decaying animal matter ,has host,375,
S172390030,,Undefined Decaying animal matter ,has host,10384,
S172390040,,Undefined Decaying animal matter ,has host,375,
S172390050,,Undefined Decaying animal matter ,has host,403,
S172390060,,"Undefined Stored products (grain, rice...) ",has host,47,
S172910010,,Albizia sp. ,has host,2053,
S172910010,,Citrus sp. ,has host,2053,
S172910010,,Cocos nucifera L.,has host,2053,
S172910010,,Coffea arabica L.,has host,2053,
S172910010,,Dioscorea sp. ,has host,2053,
S172910010,,Erythroxylum sp. ,has host,2053,
S172910010,,Gossypium sp. ,has host,2053,
S172910010,,Ipomoea batatas (L.) Lam.,has host,2053,
S172910010,,Mangifera indica L.,has host,2053,
S172910010,,Psidium guajava L.,has host,2053,
S172910010,,Solanum sp. ,has host,2053,
S172910010,,Undefined Decaying animal matter ,has host,375,
S172910010,,Undefined Decaying vegetable matter ,has host,375,
S172910010,,Undefined Mosses ,has host,375,
S172910010,,Undefined coprophagous ,has host,9309,
S172910010,,Zingiber officinale Roscoe,has host,2053,
S172920010,,Undefined Decaying vegetable matter ,has host,375,
S173650080,,Cycas circinalis L.,has host,8472,
S173660180,,Undefined Decaying animal matter ,has host,401,
S173710010,,Undefined Decaying vegetable matter ,has host,7,
S173710030,,Undefined Decaying vegetable matter ,has host,7,
